owner_login,path,pushed_at,ssh_url,project_url,default_branch
voidTM,voidTM/CourseProject,2021-12-07 00:05:07,git@github.com:voidTM/CourseProject.git,https://github.com/voidTM/CourseProject,main
sidmeister,sidmeister/CourseProject,2021-12-04 00:19:18,git@github.com:sidmeister/CourseProject.git,https://github.com/sidmeister/CourseProject,main
rm36,rm36/CourseProject,2021-11-16 05:50:51,git@github.com:rm36/CourseProject.git,https://github.com/rm36/CourseProject,main
AlexZurski,AlexZurski/CourseProject,2021-12-07 19:11:56,git@github.com:AlexZurski/CourseProject.git,https://github.com/AlexZurski/CourseProject,main
mnhuoi,mnhuoi/CourseProject,2021-11-15 00:15:51,git@github.com:mnhuoi/CourseProject.git,https://github.com/mnhuoi/CourseProject,main
Hejingze,Hejingze/CourseProject,2021-11-11 18:03:02,git@github.com:Hejingze/CourseProject.git,https://github.com/Hejingze/CourseProject,main
mebespencer,mebespencer/CourseProject,2021-11-04 21:25:29,git@github.com:mebespencer/CourseProject.git,https://github.com/mebespencer/CourseProject,main
mthatt,mthatt/CourseProject,2021-11-02 00:15:15,git@github.com:mthatt/CourseProject.git,https://github.com/mthatt/CourseProject,main
johnkz2,johnkz2/CourseProject,2021-11-16 03:18:21,git@github.com:johnkz2/CourseProject.git,https://github.com/johnkz2/CourseProject,main
Scott-Huang,Scott-Huang/CourseProject,2021-12-07 06:21:32,git@github.com:Scott-Huang/CourseProject.git,https://github.com/Scott-Huang/CourseProject,main
gsklyr,gsklyr/CourseProject,2021-11-16 03:25:48,git@github.com:gsklyr/CourseProject.git,https://github.com/gsklyr/CourseProject,main
TakumiDawn,TakumiDawn/Congress-Financial-Disclosures-Sentiment-Analysis-Project,2021-11-18 02:08:12,git@github.com:TakumiDawn/Congress-Financial-Disclosures-Sentiment-Analysis-Project.git,https://github.com/TakumiDawn/Congress-Financial-Disclosures-Sentiment-Analysis-Project,main
realLongjiLi,realLongjiLi/CourseProject,2021-12-04 21:35:43,git@github.com:realLongjiLi/CourseProject.git,https://github.com/realLongjiLi/CourseProject,main
abot3,abot3/CourseProject,2021-12-07 09:26:42,git@github.com:abot3/CourseProject.git,https://github.com/abot3/CourseProject,main
Anthony-S4,Anthony-S4/CourseProject,2021-12-07 00:05:06,git@github.com:Anthony-S4/CourseProject.git,https://github.com/Anthony-S4/CourseProject,main
mrprice3,mrprice3/CourseProject,2021-10-25 05:31:54,git@github.com:mrprice3/CourseProject.git,https://github.com/mrprice3/CourseProject,main
erikl2,erikl2/CourseProject,2021-11-15 02:05:11,git@github.com:erikl2/CourseProject.git,https://github.com/erikl2/CourseProject,main
godsell3,godsell3/CourseProject,2021-12-02 22:34:40,git@github.com:godsell3/CourseProject.git,https://github.com/godsell3/CourseProject,main
avinashnathan1,avinashnathan1/CourseProject,2021-11-16 01:17:06,git@github.com:avinashnathan1/CourseProject.git,https://github.com/avinashnathan1/CourseProject,main
roy-liu,roy-liu/CourseProject,2021-11-16 03:02:35,git@github.com:roy-liu/CourseProject.git,https://github.com/roy-liu/CourseProject,main
akashrpatel621,akashrpatel621/CourseProject,2021-12-06 02:23:53,git@github.com:akashrpatel621/CourseProject.git,https://github.com/akashrpatel621/CourseProject,main
eckels,eckels/CourseProject,2021-12-07 09:33:06,git@github.com:eckels/CourseProject.git,https://github.com/eckels/CourseProject,main
mpolsgrove,mpolsgrove/CourseProject,2021-11-15 21:40:44,git@github.com:mpolsgrove/CourseProject.git,https://github.com/mpolsgrove/CourseProject,main
Jiaqicao257,Jiaqicao257/team_aplus_project,2021-12-07 04:09:06,git@github.com:Jiaqicao257/team_aplus_project.git,https://github.com/Jiaqicao257/team_aplus_project,main
jennz0,jennz0/CourseProject,2020-12-14 03:29:45,git@github.com:jennz0/CourseProject.git,https://github.com/jennz0/CourseProject,main
GiuseppeIII,GiuseppeIII/CS410CourseProject,2021-11-15 18:59:12,git@github.com:GiuseppeIII/CS410CourseProject.git,https://github.com/GiuseppeIII/CS410CourseProject,main
karthik63,karthik63/ChromeEntity,2021-11-16 05:09:25,git@github.com:karthik63/ChromeEntity.git,https://github.com/karthik63/ChromeEntity,main
shreyarao,shreyarao/CourseProject,2021-11-16 05:01:48,git@github.com:shreyarao/CourseProject.git,https://github.com/shreyarao/CourseProject,main
ryan-berry-72,ryan-berry-72/CourseProject,2021-11-16 01:13:28,git@github.com:ryan-berry-72/CourseProject.git,https://github.com/ryan-berry-72/CourseProject,main
diane630,diane630/CourseProject,2021-12-06 18:42:32,git@github.com:diane630/CourseProject.git,https://github.com/diane630/CourseProject,main
IEnjoyEatingCookies,IEnjoyEatingCookies/CourseProject,2021-12-07 04:58:53,git@github.com:IEnjoyEatingCookies/CourseProject.git,https://github.com/IEnjoyEatingCookies/CourseProject,main
tobyzl2,tobyzl2/CourseProject,2021-11-15 22:42:06,git@github.com:tobyzl2/CourseProject.git,https://github.com/tobyzl2/CourseProject,main
ardelysti,ardelysti/CourseProject,2021-11-17 05:11:50,git@github.com:ardelysti/CourseProject.git,https://github.com/ardelysti/CourseProject,main
yuanchung1987,yuanchung1987/CourseProject,2020-12-14 03:29:45,git@github.com:yuanchung1987/CourseProject.git,https://github.com/yuanchung1987/CourseProject,main
DrLucky2,DrLucky2/CourseProject,2021-11-16 04:45:10,git@github.com:DrLucky2/CourseProject.git,https://github.com/DrLucky2/CourseProject,main
emeraldrains,emeraldrains/CourseProject,2021-12-07 11:10:09,git@github.com:emeraldrains/CourseProject.git,https://github.com/emeraldrains/CourseProject,main
SathishRama,SathishRama/CourseProject,2021-12-05 03:59:46,git@github.com:SathishRama/CourseProject.git,https://github.com/SathishRama/CourseProject,main
MinsooKim15,MinsooKim15/CS410_QuestionAnswering,2021-11-25 07:48:58,git@github.com:MinsooKim15/CS410_QuestionAnswering.git,https://github.com/MinsooKim15/CS410_QuestionAnswering,main
ruikang2,ruikang2/BookmarkSearchEngine,2021-11-16 02:36:39,git@github.com:ruikang2/BookmarkSearchEngine.git,https://github.com/ruikang2/BookmarkSearchEngine,main
li-951,li-951/CourseProject,2021-11-16 02:14:22,git@github.com:li-951/CourseProject.git,https://github.com/li-951/CourseProject,main
VAkarsh20,VAkarsh20/CS410CourseProject,2021-12-06 21:54:59,git@github.com:VAkarsh20/CS410CourseProject.git,https://github.com/VAkarsh20/CS410CourseProject,main
JiningSong,JiningSong/CourseProject,2021-11-17 05:53:17,git@github.com:JiningSong/CourseProject.git,https://github.com/JiningSong/CourseProject,main
ycchang4,ycchang4/CourseProject,2021-12-07 02:27:24,git@github.com:ycchang4/CourseProject.git,https://github.com/ycchang4/CourseProject,main
k72564,k72564/CourseProject,2021-11-16 04:52:51,git@github.com:k72564/CourseProject.git,https://github.com/k72564/CourseProject,main
coronatsai,coronatsai/CourseProject,2021-11-16 01:36:54,git@github.com:coronatsai/CourseProject.git,https://github.com/coronatsai/CourseProject,main
XueyangLiOSU,XueyangLiOSU/CourseProject,2021-12-07 02:58:01,git@github.com:XueyangLiOSU/CourseProject.git,https://github.com/XueyangLiOSU/CourseProject,main
deep-finders,deep-finders/CourseProject,2021-12-02 17:29:44,git@github.com:deep-finders/CourseProject.git,https://github.com/deep-finders/CourseProject,main
khylecalimlim,khylecalimlim/CourseProject,2021-10-25 02:20:58,git@github.com:khylecalimlim/CourseProject.git,https://github.com/khylecalimlim/CourseProject,main
yasiss,yasiss/CourseProject-GoodreadsScraper,2021-11-15 06:18:00,git@github.com:yasiss/CourseProject-GoodreadsScraper.git,https://github.com/yasiss/CourseProject-GoodreadsScraper,main
anumehaagrawal,anumehaagrawal/CourseProject,2021-12-05 04:18:52,git@github.com:anumehaagrawal/CourseProject.git,https://github.com/anumehaagrawal/CourseProject,main
LongN22,LongN22/CourseProject,2021-11-16 04:19:16,git@github.com:LongN22/CourseProject.git,https://github.com/LongN22/CourseProject,main
ttt-77,ttt-77/CourseProject,2021-12-07 06:54:03,git@github.com:ttt-77/CourseProject.git,https://github.com/ttt-77/CourseProject,main
braydenturner,braydenturner/CourseProject,2021-12-07 07:21:50,git@github.com:braydenturner/CourseProject.git,https://github.com/braydenturner/CourseProject,main
dani-richmond,dani-richmond/CourseProject,2021-12-07 07:13:56,git@github.com:dani-richmond/CourseProject.git,https://github.com/dani-richmond/CourseProject,main
preetiamin,preetiamin/CourseProject,2021-12-07 18:34:03,git@github.com:preetiamin/CourseProject.git,https://github.com/preetiamin/CourseProject,main
davegii,davegii/CourseProject,2021-12-06 20:34:28,git@github.com:davegii/CourseProject.git,https://github.com/davegii/CourseProject,main
nanyiyang,nanyiyang/CourseProject,2021-12-06 01:47:10,git@github.com:nanyiyang/CourseProject.git,https://github.com/nanyiyang/CourseProject,main
nstruong13,nstruong13/CourseProject,2021-12-07 05:54:20,git@github.com:nstruong13/CourseProject.git,https://github.com/nstruong13/CourseProject,main
LifeBringer,LifeBringer/CourseProject,2021-12-07 01:27:18,git@github.com:LifeBringer/CourseProject.git,https://github.com/LifeBringer/CourseProject,main
urviawasthi,urviawasthi/CourseProject,2021-12-07 10:58:00,git@github.com:urviawasthi/CourseProject.git,https://github.com/urviawasthi/CourseProject,main
gdeb2,gdeb2/CourseProject,2021-12-02 05:01:00,git@github.com:gdeb2/CourseProject.git,https://github.com/gdeb2/CourseProject,main
shefali4,shefali4/CourseProject,2021-12-07 18:17:11,git@github.com:shefali4/CourseProject.git,https://github.com/shefali4/CourseProject,main
jaeroong,jaeroong/CourseProject,2021-11-18 04:14:26,git@github.com:jaeroong/CourseProject.git,https://github.com/jaeroong/CourseProject,main
ratanbajpai,ratanbajpai/CourseProject,2021-11-15 04:31:46,git@github.com:ratanbajpai/CourseProject.git,https://github.com/ratanbajpai/CourseProject,main
guoyuhan717,guoyuhan717/CourseProject,2021-11-16 05:02:58,git@github.com:guoyuhan717/CourseProject.git,https://github.com/guoyuhan717/CourseProject,main
sujay170nanj,sujay170nanj/CourseProject,2021-10-25 03:27:56,git@github.com:sujay170nanj/CourseProject.git,https://github.com/sujay170nanj/CourseProject,main
ritikd2,ritikd2/CourseProject,2021-11-15 23:08:42,git@github.com:ritikd2/CourseProject.git,https://github.com/ritikd2/CourseProject,main
shiyao3,shiyao3/CourseProject,2021-11-16 02:57:59,git@github.com:shiyao3/CourseProject.git,https://github.com/shiyao3/CourseProject,main
arvindsankar,arvindsankar/CourseProject,2021-12-07 00:26:55,git@github.com:arvindsankar/CourseProject.git,https://github.com/arvindsankar/CourseProject,main
tpjwm,tpjwm/CourseProject,2021-11-16 04:39:10,git@github.com:tpjwm/CourseProject.git,https://github.com/tpjwm/CourseProject,main
rtb-illinois,rtb-illinois/CourseProject,2021-12-07 04:46:30,git@github.com:rtb-illinois/CourseProject.git,https://github.com/rtb-illinois/CourseProject,main
stanleymho,stanleymho/uiuc-cs410-final-project,2021-12-05 05:08:56,git@github.com:stanleymho/uiuc-cs410-final-project.git,https://github.com/stanleymho/uiuc-cs410-final-project,main
edhadgu,edhadgu/r-soccer-Analyzer,2021-11-16 05:11:21,git@github.com:edhadgu/r-soccer-Analyzer.git,https://github.com/edhadgu/r-soccer-Analyzer,main
yihaotan,yihaotan/CourseProject,2021-11-30 02:29:56,git@github.com:yihaotan/CourseProject.git,https://github.com/yihaotan/CourseProject,main
17JamesH,17JamesH/CourseProject,2021-12-07 03:08:00,git@github.com:17JamesH/CourseProject.git,https://github.com/17JamesH/CourseProject,main
chenjundongted,chenjundongted/CourseProject,2021-12-06 23:38:38,git@github.com:chenjundongted/CourseProject.git,https://github.com/chenjundongted/CourseProject,main
georgezhang2232,georgezhang2232/CourseProject,2021-11-15 03:48:27,git@github.com:georgezhang2232/CourseProject.git,https://github.com/georgezhang2232/CourseProject,main
timp33,timp33/CourseProject,2021-12-07 16:06:55,git@github.com:timp33/CourseProject.git,https://github.com/timp33/CourseProject,main
cotcat,cotcat/CourseProject,2021-11-15 20:32:38,git@github.com:cotcat/CourseProject.git,https://github.com/cotcat/CourseProject,main
matthewmechtly,matthewmechtly/CourseProject,2021-12-07 20:31:01,git@github.com:matthewmechtly/CourseProject.git,https://github.com/matthewmechtly/CourseProject,main
Sinba7,Sinba7/CourseProject,2021-11-16 06:16:05,git@github.com:Sinba7/CourseProject.git,https://github.com/Sinba7/CourseProject,main
